PF06536	PF06536.13
PF05512	PF05512.13
PF17907	PF17907.3
PF05448	PF05448.14
PF08517	PF08517.14
PF16646	PF16646.7
PF08833	PF08833.12
PF10211	PF10211.11
PF03591	PF03591.16
PF05437	PF05437.14
PF16558	PF16558.7
PF01356	PF01356.21
PF02137	PF02137.20
PF00962	PF00962.24
PF08451	PF08451.13
PF18424	PF18424.3
PF09713	PF09713.12
PF02216	PF02216.18
PF04182	PF04182.14
PF02246	PF02246.17
PF02310	PF02310.21
PF02607	PF02607.19
PF06522	PF06522.13
PF11473	PF11473.10
PF09066	PF09066.12
PF17623	PF17623.4
PF02362	PF02362.23
PF19341	PF19341.1
PF17057	PF17057.7
PF03483	PF03483.19
PF03484	PF03484.17
PF01603	PF01603.22
PF07162	PF07162.13
PF07886	PF07886.13
PF06989	PF06989.14
PF08840	PF08840.13
PF07234	PF07234.13
PF02673	PF02673.20
PF18138	PF18138.3
PF18173	PF18173.3
PF05791	PF05791.13
PF05968	PF05968.13
PF07707	PF07707.17
PF13004	PF13004.9
PF19190	PF19190.2
PF10432	PF10432.11
PF12173	PF12173.10
PF01721	PF01721.20
PF10439	PF10439.11
PF09221	PF09221.12
PF11758	PF11758.10
PF14406	PF14406.8
PF04519	PF04519.15
PF18483	PF18483.3
PF08379	PF08379.12
PF06143	PF06143.13
PF04798	PF04798.14
PF06096	PF06096.13
PF04786	PF04786.14
PF05274	PF05274.13
PF04639	PF04639.14
PF04850	PF04850.14
PF12259	PF12259.10
PF03258	PF03258.16
PF04700	PF04700.14
PF03273	PF03273.15
PF04735	PF04735.14
PF05290	PF05290.13
PF07206	PF07206.13
